ClefClient,NomClient,PrenomClient,NumeroCarteClient,VilleClient,SexeClient,Age,RevenusFoyer
1,Bertrand,Anastasie,3bde9214-4c66-4f8d-9ca7-40cb00b97d52,Gabès,Homme,23,8191
2,Couturier,Inès,efb38674-b218-423a-ad7e-6ab31d761c45,Kairouan,Femme,48,4254
3,Delattre,Michelle,7e71b54c-28af-47c7-99e4-2f65abede228,Tunis,Femme,38,8701
4,Rodriguez,Diane,5c2c39e8-74f6-44a1-b523-12044c0942cc,Sfax,Homme,63,7469
5,Munoz,Christophe,afcef1ff-b84f-44da-a598-707121230430,Ben Arous,Femme,61,7882
6,Adam,Valérie,aebc737a-0c81-463f-8ea9-c00ba2fc2fca,Ariana,Homme,30,4642
7,Colin,Grégoire,a36fff4e-32fe-40f3-8533-f02e9dc63cea,Bizerte,Femme,21,3152
8,Pinto,Michelle,4febb00c-dff9-4276-b865-482cdac7e927,Gabès,Homme,31,9736
9,Moreno,Hélène,824def8b-5548-4971-adbc-0cf91e9ab0d0,Nabeul,Homme,47,17571
10,Muller,Virginie,67bbdbf6-6dac-4281-85a6-b1d3bcf5585e,Nabeul,Homme,32,11203
11,Meunier,Sébastien,21e906c7-c62d-4d8f-8f9d-6db091627d08,Sfax,Homme,40,15532
12,Bourdon,Marine,d2a2c454-5c22-43ea-a2f8-c30835428a10,Sousse,Femme,31,6470
13,Lefèvre,Monique,8b6712a2-99bd-4f11-9804-5592101ff783,Nabeul,Femme,46,7119
14,Durand,Élodie,0d167520-e46e-4349-9169-f41d7381aeaa,Ben Arous,Femme,64,6790
15,Garcia,Timothée,53022762-ed48-4191-ac2b-9efcb71bdb40,Tunis,Homme,19,6884
16,Costa,André,ba377886-3471-427c-96d6-c13d353f0d59,Sfax,Femme,62,19989
17,Gautier,Guillaume,703682d3-dee4-4467-87ea-134c7b1fb44e,Monastir,Femme,44,9273
18,Pierre,Diane,8eb94b66-4516-42bf-8019-3d20edc5a448,Gabès,Homme,55,5288
19,Roy,Léon,195fdf49-dad9-4497-8a15-db68fbaa4791,Tunis,Femme,38,19143
20,Lucas,Gérard,9b8357e6-4dd6-40c1-89b9-f346b81fec30,Gabès,Homme,45,6451
21,Marion,Émilie,b71ff8a6-232d-4d04-8c9e-9f4d705e2806,Tunis,Femme,52,11305
