ClefClient,NomClient,PrenomClient,NumeroCarteClient,VilleClient,SexeClient,Age,RevenusFoyer
1,Lewis,Melissa,1ca19b0d-9582-4293-86a4-3fe56f38e8f8,East Carl,Homme,70,30534
2,Turner,Heather,3b33707f-ec80-4dd7-a8da-b4172ac1bf55,Millerbury,Femme,29,44003
3,Wallace,Austin,410b107f-9643-4244-946a-64fb32e096f7,East Julia,Homme,41,61266
4,Gibson,Robert,1e295198-b24f-4155-a76c-f503079970b4,New Kenneth,Femme,27,86830
5,Martinez,Rachel,3071032c-e81e-4d73-ad02-50d7e6559c67,Dawnshire,Homme,60,99753
6,Thompson,Molly,80ab6d2f-a217-44f0-ac40-a0ac1d125f4e,New Stephanie,Femme,52,34300
7,Smith,Devin,c0d58c89-ed01-4532-a487-7f658a3bb786,East Michelefort,Femme,34,79564
8,Allen,Brian,70e6ea89-41ee-4e89-bb4b-a339949896ca,Hernandezview,Femme,29,89477
9,Gomez,Richard,01900054-e2f1-4d99-8a7f-4811b415c5a4,East Davidmouth,Homme,43,76196
10,Poole,Margaret,bec81aa9-2d0a-4131-aa3d-452e138a9e75,Danielberg,Femme,44,35509
11,Mccarthy,Anthony,e7025d5d-1262-4ed8-aa0f-d8b4faea2e77,Smithbury,Femme,25,31968
12,Best,Kelly,cb285848-5799-4a94-8dc9-36211a791e83,Stevenport,Femme,45,27507
13,Nguyen,Paula,bc20f7ef-5ae1-4cdf-9136-959a1a98df2f,West Jonathanshire,Homme,38,76351
14,Norman,Susan,ab0785a3-4dc2-497e-9d70-8a52a681f5c4,Mooreshire,Femme,53,93314
15,Norman,Joanna,55aec153-da5e-4d9b-8fb5-d5a91b54edbc,East Dominic,Femme,20,62161
16,Johnston,Robert,468054c3-4372-45d8-b793-a35c8a7f454d,Johnbury,Femme,61,43668
17,Morales,Rita,9f2d04f5-9421-4ba0-94e7-128887bccac6,East Edward,Homme,63,67256
18,Reid,Michael,dd6cb851-8a5e-442b-9784-bef634bfc8f6,Billyport,Femme,50,57317
19,Bryant,Tyler,1410e89a-a198-4e7d-acb7-07656d729162,Port Michaelborough,Femme,20,24484
20,Miller,Victoria,797d4b3d-74eb-4cea-84ba-59daba04471f,East Heatherchester,Femme,58,35522
21,Anderson,Rebecca,e21331e2-4af5-4dfd-9227-5bbc68a572c3,North Deanna,Homme,20,99927
22,Peck,Dana,9387ec71-7463-420f-ad25-7f613ccda712,Ruthberg,Homme,54,59394
23,Schwartz,Michael,c3b87d35-d59d-497d-9dbf-a763656d4d92,Ryanmouth,Homme,25,43091
24,Wagner,Michael,f195bff4-33aa-42c2-b404-aa1b5c2a258d,Elijahside,Femme,55,38917
